일자,시도명,읍면동명,거주인구,근무인구,방문인구,총 유동인구,평균 속도,평균 소요 시간,평균 기온,일강수량,평균 풍속,교통량
2018-01-02,서귀포시,천지동,68871.407,4953.706,61727.87,135552.984,48.211,26.684,7.2,0,1.6,0
2018-01-02,제주시,화북동,586832.39,60614.573,202753.548,850200.511,32.538,35.885,2.8,0,1.9,1498.923
2018-01-02,제주시,외도동,212709.722,13519.314,107651.5,333880.535,30.75,34,6,0,2.1,1109.45
2018-01-02,제주시,구좌읍,277630.347,34531.092,158864.256,471025.695,53.906,40.688,6.1,0,2.367,0
2018-01-02,서귀포시,안덕면,263414.97,44411.715,202560.937,510387.621,50.964,45.107,6.4,0,2.5,0
2018-01-02,서귀포시,남원읍,290944.66,27781.676,166779.581,485505.917,53,40.771,4.2,0,2.8,72.8
2018-01-02,제주시,일도2동,689902.938,42871.795,246141.12,978915.853,28.364,42.818,3.8,0,2.7,655.636
2018-01-02,서귀포시,대정읍,385429.13,22384.305,117338.304,525151.74,54.842,42.632,8.167,0,3.55,377.737
2018-01-02,제주시,일도1동,34692.393,7276.959,73060.979,115030.331,28.5,25,3.8,0,2.7,0
2018-01-02,서귀포시,예래동,68975.211,23768.148,174695.85,267439.209,47.1,48.1,5.8,0,2.05,219.333
2018-01-02,제주시,도두동,29946.856,5222.022,97561.004,132729.883,36.556,38.722,6,0,2.1,1741.722
2018-01-02,제주시,오라동,300713.432,41766.74,276094.76,618574.931,34.125,45.375,3.8,0,2.7,307.75
2018-01-02,제주시,노형동,1232528.649,137467.968,498926.734,1868923.351,36.655,34.862,-0.4,0,0.6,1497.851
2018-01-02,제주시,삼도1동,214133.27,19545.014,144542.957,378221.241,27,31.25,3.8,0,2.7,0
2018-01-02,제주시,봉개동,74263.139,17389.182,95115.129,186767.45,34,58.182,1,0,1.5,0
2018-01-02,서귀포시,정방동,47937.483,9709.345,91608.669,149255.497,60.625,28.875,7.2,0,1.6,0
2018-01-02,서귀포시,영천동,86106.593,19777.363,91371.031,197254.987,40.087,18.783,7.2,0,1.6,0
2018-01-02,서귀포시,대천동,158885.753,15172.747,133694.82,307753.32,41.208,14.375,0,0,0,0
2018-01-02,제주시,애월읍,757075.506,81832.129,475251.812,1314159.447,52.707,52.511,-0.1,0,2.45,118.065
2018-01-03,제주시,일도2동,688462.95,41396.607,251979.391,981838.948,27.909,42.636,2.5,0,2,648.818
2018-01-03,제주시,삼도2동,102726.24,12136.713,125414.829,240277.783,29,17.333,2.5,0,2,0
2018-01-03,서귀포시,영천동,84161.788,19801.552,92637.677,196601.016,39.826,18.783,7.6,0,1.1,0
2018-01-03,제주시,삼양동,442955.198,22199.211,97963.667,563118.077,30.714,17.286,1.033,0,4.467,756.143
2018-01-03,서귀포시,안덕면,270657.397,47403.391,207546.873,525607.661,50.75,45.357,3.9,0,5.9,0
2018-01-03,서귀포시,성산읍,287387.654,22660.101,199538.203,509585.959,47.435,57.13,4,0,5,0
2018-01-03,제주시,일도1동,34176.012,8116.37,72893.998,115186.38,28,25.25,2.5,0,2,0
2018-01-03,서귀포시,송산동,213128.18,19839.319,102705.274,335672.774,45.829,30.878,7.6,0,1.1,118.756
2018-01-03,서귀포시,중문동,167623.105,14797.124,116974.375,299394.605,48.944,43.333,-0.4,0,4,0
2018-01-03,제주시,애월읍,750592.667,78534.805,477284.734,1306412.206,52,53.152,-1.875,0,4.75,129.13
2018-01-03,제주시,이호동,70182.555,7329.823,68690.22,146202.598,26.889,20.778,4.1,0,2.6,0
2018-01-03,제주시,조천읍,410396.061,49009.246,249411.353,708816.66,51.4,47.6,1.033,0,4.467,0
2018-01-03,서귀포시,정방동,49364.845,8786.592,94332.729,152484.166,60.5,28.625,7.6,0,1.1,0
2018-01-03,서귀포시,예래동,68091.864,23921.966,179556.291,271570.121,46.867,48.8,6,0,3.1,225.133
2018-01-03,서귀포시,중앙동,44654.246,13356.998,109947.375,167958.619,60,32.286,7.6,0,1.1,0
2018-01-03,제주시,이도2동,1234013.663,172436.634,596968.775,2003419.073,28.231,40.269,2.5,0,2,334.654
2018-01-03,제주시,한경면,130393.614,10189.598,60991.741,201574.953,51.321,44.964,3.35,0,5.25,683.429
2018-01-03,제주시,봉개동,76376.867,24645.036,101631.33,202653.234,34.182,58.364,0,0,3.4,0
2018-01-03,제주시,오라동,300521.198,44741.45,283971.175,629233.824,34.75,45.25,2.5,0,2,297.625
2018-01-03,서귀포시,대륜동,273403.104,29988.429,189333.535,492725.068,38.037,33.778,7.6,0,1.1,0
2018-01-03,제주시,화북동,583503.23,60128.82,206573.499,850205.549,32.5,35.808,1.033,0,4.467,1507.154
2018-01-03,제주시,도두동,30736.896,5329.796,83420.951,119487.643,36.111,38.778,4.1,0,2.6,1783.667
2018-01-03,제주시,삼도1동,211974.341,18931.27,148294.362,379199.972,28.25,28.25,2.5,0,2,0
2018-01-03,제주시,외도동,211070.247,13972.758,108937.341,333980.347,30.3,34.4,4.1,0,2.6,1109.85
2018-01-03,서귀포시,남원읍,287121.506,27767.075,181151.435,496040.016,52.371,41.514,3.575,0,3.925,73.971
2018-01-03,서귀포시,대정읍,385155.579,23770.142,118579.569,527505.289,54.053,43.526,5.8,0,9.467,373.947
2018-01-03,제주시,노형동,1227270.595,134733.507,487082.809,1849086.911,36.943,34.425,-0.9,0,1.1,1490.264
2018-01-03,제주시,구좌읍,273144.837,34673.179,154439.621,462257.637,53.094,40.969,4.4,0,5.367,0
2018-01-03,서귀포시,대천동,155326.811,14700.66,139047.416,309074.887,40.542,14.958,7.4,0,1.8,0
2018-01-03,서귀포시,천지동,68025.729,5023.154,59414.066,132462.949,47.474,27.368,7.6,0,1.1,0
2018-01-03,제주시,용담1동,152904.033,14995.435,101415.881,269315.349,33.333,15.833,2.5,0,2,933.833
2018-01-03,서귀포시,동홍동,384305.781,37249.301,169612.999,591168.081,39.048,32.143,7.6,0,1.1,0
2018-01-03,서귀포시,표선면,197534.475,20650.895,128202.932,346388.302,48.457,35.171,4,0,5,0
2018-01-03,제주시,이도1동,158896.828,37530.962,184044.423,380472.212,32.625,21.375,2.5,0,2,1193.5
2018-01-03,제주시,건입동,165105.83,25732.876,156549.258,347387.964,32,44.8,0,0,3.4,450.6
2018-01-03,제주시,연동,1082305.138,142912.646,527997.589,1753215.372,38.302,37.547,-0.9,0,1.1,809.887
2018-01-03,제주시,용담2동,240336.457,54771.234,286341.109,581448.8,28.455,29.727,2.5,0,2,995.909
2018-01-03,서귀포시,서홍동,117042.637,7659.206,73418.138,198119.981,37,29.778,7.6,0,1.1,0
2018-01-03,제주시,한림읍,454149.401,47676.467,196171.775,697997.643,50.236,62.597,3.35,0,5.25,0
2018-01-03,서귀포시,효돈동,87486.698,6557.714,39476.516,133520.928,39,20.533,3.575,0,3.925,0
2018-01-03,제주시,아라동,764374.119,125318.779,282107.803,1171800.702,38.926,62.963,-0.133,0,2.633,1365.704
2018-01-04,제주시,조천읍,399248.533,51072.685,255601.602,705922.82,51.8,46.6,0.433,0.667,2.867,0
2018-01-04,제주시,한경면,123497.929,9803.797,60150.846,193452.572,51.643,44.321,2.2,0.5,4.3,690.679
2018-01-04,서귀포시,서홍동,110982.425,8580.493,85848.352,205411.269,37.444,29.111,6.9,5,1.4,0
2018-01-04,서귀포시,대륜동,263227.885,29306.464,201382.45,493916.799,37.074,35.074,6.9,5,1.4,0
2018-01-04,제주시,화북동,574706.34,61213.609,220784.378,856704.327,32.615,35.077,0.433,0.667,2.867,1481.962
